starttime	seconds	ctime	dtime	ttime	wait
Sat Sep 24 23:28:57 2022	1664051337	0	671	672	671
Sat Sep 24 23:29:02 2022	1664051342	0	672	672	671
Sat Sep 24 23:28:57 2022	1664051337	0	672	672	671
Sat Sep 24 23:28:57 2022	1664051337	0	672	672	672
Sat Sep 24 23:28:57 2022	1664051337	0	673	673	670
Sat Sep 24 23:29:01 2022	1664051341	0	673	673	672
Sat Sep 24 23:28:57 2022	1664051337	0	674	674	651
Sat Sep 24 23:28:56 2022	1664051336	2	672	674	672
Sat Sep 24 23:29:02 2022	1664051342	0	674	674	673
Sat Sep 24 23:28:57 2022	1664051337	0	674	674	673
Sat Sep 24 23:28:56 2022	1664051336	2	672	674	672
Sat Sep 24 23:29:02 2022	1664051342	0	674	674	674
Sat Sep 24 23:28:57 2022	1664051337	0	675	675	662
Sat Sep 24 23:28:57 2022	1664051337	0	675	675	675
Sat Sep 24 23:29:00 2022	1664051340	0	675	675	674
Sat Sep 24 23:28:58 2022	1664051338	0	675	675	668
Sat Sep 24 23:29:01 2022	1664051341	0	676	676	675
Sat Sep 24 23:28:57 2022	1664051337	0	676	676	675
Sat Sep 24 23:29:07 2022	1664051347	0	676	676	675
Sat Sep 24 23:28:57 2022	1664051337	0	676	676	650
Sat Sep 24 23:28:59 2022	1664051339	0	677	677	663
Sat Sep 24 23:28:58 2022	1664051338	0	678	678	676
Sat Sep 24 23:29:02 2022	1664051342	0	678	678	677
Sat Sep 24 23:28:59 2022	1664051339	0	678	678	677
Sat Sep 24 23:28:57 2022	1664051337	0	678	678	648
Sat Sep 24 23:29:02 2022	1664051342	0	678	678	677
Sat Sep 24 23:28:59 2022	1664051339	0	678	678	677
Sat Sep 24 23:29:01 2022	1664051341	0	679	680	679
Sat Sep 24 23:29:02 2022	1664051342	0	679	680	679
Sat Sep 24 23:29:02 2022	1664051342	0	680	680	679
Sat Sep 24 23:29:06 2022	1664051346	0	680	680	679
Sat Sep 24 23:29:02 2022	1664051342	0	680	680	679
Sat Sep 24 23:28:56 2022	1664051336	2	678	681	678
Sat Sep 24 23:29:04 2022	1664051344	0	681	681	679
Sat Sep 24 23:28:57 2022	1664051337	0	681	682	681
Sat Sep 24 23:29:01 2022	1664051341	0	683	683	681
Sat Sep 24 23:28:57 2022	1664051337	0	683	683	682
Sat Sep 24 23:29:00 2022	1664051340	0	684	684	683
Sat Sep 24 23:28:56 2022	1664051336	2	682	684	616
Sat Sep 24 23:28:57 2022	1664051337	0	684	684	683
Sat Sep 24 23:28:57 2022	1664051337	0	685	685	651
Sat Sep 24 23:28:56 2022	1664051336	2	683	685	682
Sat Sep 24 23:28:57 2022	1664051337	0	685	685	685
Sat Sep 24 23:28:57 2022	1664051337	0	685	685	684
Sat Sep 24 23:29:00 2022	1664051340	0	685	685	685
Sat Sep 24 23:28:56 2022	1664051336	2	684	685	682
Sat Sep 24 23:28:57 2022	1664051337	0	685	685	684
Sat Sep 24 23:29:02 2022	1664051342	0	686	686	686
Sat Sep 24 23:28:56 2022	1664051336	2	684	686	683
Sat Sep 24 23:29:07 2022	1664051347	0	686	687	686
Sat Sep 24 23:28:57 2022	1664051337	0	686	687	686
Sat Sep 24 23:28:56 2022	1664051336	2	685	687	684
Sat Sep 24 23:29:02 2022	1664051342	0	687	687	687
Sat Sep 24 23:29:06 2022	1664051346	0	687	687	686
Sat Sep 24 23:28:56 2022	1664051336	2	685	687	684
Sat Sep 24 23:28:57 2022	1664051337	0	687	687	686
Sat Sep 24 23:28:58 2022	1664051338	0	688	688	688
Sat Sep 24 23:28:57 2022	1664051337	0	688	688	685
Sat Sep 24 23:28:57 2022	1664051337	0	690	690	662
Sat Sep 24 23:28:57 2022	1664051337	0	690	690	686
Sat Sep 24 23:28:58 2022	1664051338	0	690	690	689
Sat Sep 24 23:28:59 2022	1664051339	0	690	690	672
Sat Sep 24 23:28:58 2022	1664051338	1	690	691	690
Sat Sep 24 23:28:58 2022	1664051338	0	691	691	689
Sat Sep 24 23:29:02 2022	1664051342	0	692	692	691
Sat Sep 24 23:29:07 2022	1664051347	0	692	692	690
Sat Sep 24 23:28:58 2022	1664051338	0	692	692	691
Sat Sep 24 23:28:56 2022	1664051336	0	694	694	693
Sat Sep 24 23:29:02 2022	1664051342	0	694	694	683
Sat Sep 24 23:29:09 2022	1664051349	0	694	694	692
Sat Sep 24 23:28:57 2022	1664051337	0	695	695	694
Sat Sep 24 23:29:02 2022	1664051342	0	695	695	694
Sat Sep 24 23:29:02 2022	1664051342	0	695	695	693
Sat Sep 24 23:29:10 2022	1664051350	0	695	695	694
Sat Sep 24 23:28:58 2022	1664051338	0	696	696	696
Sat Sep 24 23:29:07 2022	1664051347	0	697	697	695
Sat Sep 24 23:28:58 2022	1664051338	0	697	697	696
Sat Sep 24 23:29:00 2022	1664051340	0	697	697	693
Sat Sep 24 23:29:05 2022	1664051345	0	697	697	695
Sat Sep 24 23:28:56 2022	1664051336	2	695	697	692
Sat Sep 24 23:28:56 2022	1664051336	2	696	697	692
Sat Sep 24 23:28:56 2022	1664051336	2	696	697	692
Sat Sep 24 23:29:02 2022	1664051342	0	698	698	698
Sat Sep 24 23:28:57 2022	1664051337	0	698	698	696
Sat Sep 24 23:28:56 2022	1664051336	2	696	699	693
Sat Sep 24 23:28:56 2022	1664051336	2	696	699	693
Sat Sep 24 23:29:04 2022	1664051344	0	699	699	697
Sat Sep 24 23:28:58 2022	1664051338	0	699	699	697
Sat Sep 24 23:28:58 2022	1664051338	0	699	699	696
Sat Sep 24 23:28:58 2022	1664051338	0	700	700	698
Sat Sep 24 23:28:57 2022	1664051337	0	700	700	699
Sat Sep 24 23:28:58 2022	1664051338	0	700	700	699
Sat Sep 24 23:28:58 2022	1664051338	0	701	701	699
Sat Sep 24 23:29:04 2022	1664051344	0	701	701	699
Sat Sep 24 23:28:56 2022	1664051336	3	699	702	699
Sat Sep 24 23:28:57 2022	1664051337	0	702	702	701
Sat Sep 24 23:28:58 2022	1664051338	0	702	702	702
Sat Sep 24 23:29:09 2022	1664051349	0	703	703	702
Sat Sep 24 23:29:07 2022	1664051347	0	703	703	697
Sat Sep 24 23:28:58 2022	1664051338	0	704	704	703
Sat Sep 24 23:29:02 2022	1664051342	0	705	705	676
Sat Sep 24 23:29:02 2022	1664051342	0	705	705	704
Sat Sep 24 23:28:59 2022	1664051339	0	706	706	688
Sat Sep 24 23:29:02 2022	1664051342	0	706	706	705
Sat Sep 24 23:29:01 2022	1664051341	0	706	706	706
Sat Sep 24 23:28:57 2022	1664051337	0	706	706	704
Sat Sep 24 23:29:00 2022	1664051340	0	706	706	705
Sat Sep 24 23:29:00 2022	1664051340	0	707	707	705
Sat Sep 24 23:28:58 2022	1664051338	0	707	707	707
Sat Sep 24 23:29:04 2022	1664051344	0	707	707	706
Sat Sep 24 23:28:56 2022	1664051336	2	706	707	705
Sat Sep 24 23:29:00 2022	1664051340	0	707	707	694
Sat Sep 24 23:28:56 2022	1664051336	0	708	708	705
Sat Sep 24 23:28:58 2022	1664051338	0	708	708	708
Sat Sep 24 23:28:58 2022	1664051338	0	708	708	707
Sat Sep 24 23:28:59 2022	1664051339	0	708	708	708
Sat Sep 24 23:28:58 2022	1664051338	0	708	708	708
Sat Sep 24 23:28:58 2022	1664051338	0	709	709	708
Sat Sep 24 23:28:56 2022	1664051336	0	710	710	709
Sat Sep 24 23:28:56 2022	1664051336	2	708	710	708
Sat Sep 24 23:28:58 2022	1664051338	0	710	710	710
Sat Sep 24 23:28:58 2022	1664051338	0	710	711	710
Sat Sep 24 23:29:00 2022	1664051340	0	711	711	709
Sat Sep 24 23:29:06 2022	1664051346	0	711	711	710
Sat Sep 24 23:28:57 2022	1664051337	0	711	711	710
Sat Sep 24 23:29:09 2022	1664051349	0	711	711	711
Sat Sep 24 23:29:09 2022	1664051349	0	711	711	711
Sat Sep 24 23:29:10 2022	1664051350	0	711	711	709
Sat Sep 24 23:29:08 2022	1664051348	0	713	713	712
Sat Sep 24 23:28:57 2022	1664051337	0	713	713	712
Sat Sep 24 23:29:02 2022	1664051342	0	714	714	712
Sat Sep 24 23:28:58 2022	1664051338	0	714	714	713
Sat Sep 24 23:28:56 2022	1664051336	0	714	714	713
Sat Sep 24 23:28:59 2022	1664051339	0	714	714	713
Sat Sep 24 23:28:59 2022	1664051339	0	714	714	714
Sat Sep 24 23:28:58 2022	1664051338	0	715	715	714
Sat Sep 24 23:28:58 2022	1664051338	0	715	715	714
Sat Sep 24 23:28:58 2022	1664051338	0	715	715	715
Sat Sep 24 23:28:59 2022	1664051339	0	715	716	715
Sat Sep 24 23:28:58 2022	1664051338	0	716	716	715
Sat Sep 24 23:29:04 2022	1664051344	0	716	716	714
Sat Sep 24 23:28:57 2022	1664051337	0	716	716	708
Sat Sep 24 23:28:57 2022	1664051337	0	716	716	715
Sat Sep 24 23:28:56 2022	1664051336	0	716	717	715
Sat Sep 24 23:29:02 2022	1664051342	0	717	717	716
Sat Sep 24 23:28:58 2022	1664051338	0	717	717	716
Sat Sep 24 23:28:56 2022	1664051336	0	717	718	717
Sat Sep 24 23:28:57 2022	1664051337	0	718	718	715
Sat Sep 24 23:28:56 2022	1664051336	0	719	719	718
Sat Sep 24 23:29:02 2022	1664051342	0	719	719	718
Sat Sep 24 23:28:59 2022	1664051339	0	719	719	708
Sat Sep 24 23:29:01 2022	1664051341	0	719	719	719
Sat Sep 24 23:28:58 2022	1664051338	0	720	720	718
Sat Sep 24 23:28:58 2022	1664051338	0	720	720	719
Sat Sep 24 23:29:10 2022	1664051350	0	720	721	719
Sat Sep 24 23:29:06 2022	1664051346	0	721	721	720
Sat Sep 24 23:28:58 2022	1664051338	0	721	721	721
